symptom_id,symptom,description,severity,service_slugs,part_skus,reasoning,active
symp-not-starting,Bike is not starting,Self starter clicking or kick start not firing engine,HIGH,"battery-electrical-check;engine-tune-up;full-bike-inspection","PART-BAT-12V4AH;PART-BAT-12V5AH;PART-SPK-PLG-RES;PART-SPK-PLG-PLUG;PART-FUSE-SET","Check battery voltage, ignition spark, and blade fuse integrity",true
symp-low-pickup,Low pickup,Vehicle lacks pulling power on slopes or throttle hesitation,MEDIUM,"scooter-cvt-service;engine-tune-up;pickup-performance-diagnosis","PART-AIR-FLT-SCOOT;PART-AIR-FLT-COMM;PART-SPK-PLG-RES;PART-CVT-BLT;PART-CVT-RLR-SET;PART-CLT-PLT-SET;PART-CHN-SPRK-SET","Inspect air filter restriction, spark plug health, CVT belt slippage, and clutch plate wear",true
symp-poor-mileage,Poor mileage,Fuel consumption is significantly higher than usual,MEDIUM,"engine-tune-up;periodic-service;tyre-service","PART-AIR-FLT-COMM;PART-AIR-FLT-SCOOT;PART-SPK-PLG-RES;PART-SPK-PLG-PLUG;PART-ENG-OIL-10W30","Air filter clogging, rich fuel mixture, incorrect spark gap, and low tyre pressure cause high consumption",true
symp-brake-weak,Brake problem,Brakes feel spongy weak or make screeching noise,HIGH,"brake-service;full-bike-inspection","PART-BRK-SHOE-F;PART-BRK-SHOE-R;PART-BRK-PAD-F;PART-BRK-PAD-R;PART-BRK-FLD-DOT4;PART-LVR-BRK","Worn out friction material, glazed drums, or low hydraulic fluid compromise safety",true
symp-chain-noise,Chain noise,Clattering or loose chain sound from rear wheel,MEDIUM,"chain-sprocket-service;periodic-service","PART-CHN-SPRK-SET","Excessive chain slack, uneven elongation, or worn sprocket teeth",true
symp-engine-noise,Engine noise,Tappet ticking metallic knocking or rough engine vibration,HIGH,"engine-oil-service;engine-tune-up;full-bike-inspection","PART-ENG-OIL-10W30;PART-ENG-OIL-20W40;PART-ENG-OIL-15W50;PART-SPK-PLG-RES","Low or degraded oil causes excessive friction and valve train noise",true
symp-battery-problem,Battery problem,Self starter not engaging horn sounds weak or battery dead,MEDIUM,"battery-electrical-check","PART-BAT-12V4AH;PART-BAT-12V5AH;PART-FUSE-SET;PART-HORN-12V","Battery charge depletion, dead cell, or blown primary fuse",true
symp-tyre-problem,Tyre problem,Frequent air drop wobbling or visible tyre wear,MEDIUM,"tyre-service;wheel-bearing-service","PART-TYR-F-9090;PART-TYR-R-9090;PART-TYR-F-27518;PART-TYR-R-30018;PART-TUBE-18","Tread depth below safety limit, valve pin leak, or puncture",true
symp-headlight-problem,Headlight problem,Headlamp or indicator not turning on or flickering,LOW,"battery-electrical-check","PART-BULB-HL-HS1;PART-BULB-TL-12V;PART-IND-BLB;PART-FUSE-SET","Bulb filament burned out or loose holder grounding",true
symp-suspension-problem,Suspension problem,Front fork oil leaking or hard thud on speed bumps,MEDIUM,"front-suspension-service","PART-FORK-SEAL","Damaged fork dust/oil seals causing hydraulic damping loss",true
symp-wheel-noise,Wheel & bearing noise,Grinding or hum sound from wheels during rotation,HIGH,"wheel-bearing-service","PART-WHL-BRG-6201;PART-WHL-BRG-6301;PART-STEER-BRG","Dried bearing grease or pitted ball races require replacement",true
symp-general-service,General service,Regular periodic servicing routine maintenance and checkup,LOW,"periodic-service;engine-oil-service","PART-ENG-OIL-10W30;PART-ENG-OIL-20W40;PART-AIR-FLT-COMM;PART-AIR-FLT-SCOOT;PART-SPK-PLG-RES","Routine preventive replacement of engine oil and consumable filters",true
symp-other,Other,Unspecified mechanical or electrical issue needing mechanic inspection,MEDIUM,"full-bike-inspection","PART-ENG-OIL-10W30;PART-SPK-PLG-RES","Comprehensive multi-point inspection to pinpoint exact fault",true
